Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_1206_3216Metric,151.6699,-84.1248,-90.0,top
C2,100nF,C_1206_3216Metric,137.4199,-88.8748,90.0,top
C3,10uF,C_1206_3216Metric,96.1699,-61.1248,-90.0,top
C4,100nF,C_1206_3216Metric,137.4449,-69.1248,180.0,top
C5,22pF,C_0402_1005Metric,142.0368,-90.17,-90.0,top
C6,22pF,C_0402_1005Metric,145.796,-90.17,-90.0,top
C7,100nF,C_1206_3216Metric,98.6699,-61.1248,-90.0,top
C8,100nF,C_1206_3216Metric,138.9199,-83.8748,-90.0,top
C9,100nF,C_1206_3216Metric,153.1699,-68.6498,90.0,top
C10,100nF,C_1206_3216Metric,104.9199,-69.8748,-90.0,top
C11,10uF,C_1206_3216Metric,107.4199,-69.8748,-90.0,top
C12,100nF,C_1206_3216Metric,132.1699,-99.3748,-90.0,top
C13,10uF/16V,C_1206_3216Metric,148.4199,-105.8498,-90.0,top
D2,1N4148,D_SOD-123,113.665,-100.965,180.0,top
D101,LED Green,LED_0805_2012Metric,170.1699,-75.8748,90.0,top
Q1,MMBT2222,SOT-23,128.905,-109.855,180.0,top
Q2,BSS123,SOT-23,107.95,-75.565,0.0,top
Q3,BSS123,SOT-23,107.95,-81.28,0.0,top
Q4,BSS123,SOT-23,107.95,-86.995,0.0,top
Q5,BSS123,SOT-23,107.95,-92.71,0.0,top
Q6,BSS123,SOT-23,107.95,-98.425,0.0,top
Q7,BSS123,SOT-23,107.95,-104.14,0.0,top
R1,4K7,R_1206_3216Metric,134.4199,-88.8748,-90.0,top
R2,1K,R_1206_3216Metric,122.555,-109.855,0.0,top
R3,1K,R_1206_3216Metric,158.9199,-68.6748,90.0,top
R4,10K,R_1206_3216Metric,155.7199,-68.6748,90.0,top
R5,22R,R_1206_3216Metric,153.035,-97.79,0.0,top
R6,22R,R_1206_3216Metric,153.035,-93.98,0.0,top
R7,1K,R_1206_3216Metric,154.4199,-87.63,-90.0,top
R8,1K,R_1206_3216Metric,113.665,-76.835,180.0,top
R9,1K,R_1206_3216Metric,113.665,-82.55,180.0,top
R10,1K,R_1206_3216Metric,113.665,-88.265,180.0,top
R11,1K,R_1206_3216Metric,113.665,-93.345,180.0,top
R12,1K,R_1206_3216Metric,113.665,-97.155,180.0,top
R13,1K,R_1206_3216Metric,113.665,-104.775,180.0,top
R14,1K,R_1206_3216Metric,100.965,-72.39,0.0,top
R15,1K,R_1206_3216Metric,100.965,-74.93,0.0,top
R16,1K,R_1206_3216Metric,100.965,-80.01,0.0,top
R17,1K,R_1206_3216Metric,100.965,-84.455,0.0,top
R18,1K,R_1206_3216Metric,100.965,-87.63,0.0,top
R19,1K,R_1206_3216Metric,100.965,-90.805,0.0,top
R20,1K,R_1206_3216Metric,100.965,-93.98,0.0,top
R21,1K,R_1206_3216Metric,100.965,-97.155,0.0,top
R22,1K,R_1206_3216Metric,100.965,-100.33,0.0,top
R23,1K,R_1206_3216Metric,100.965,-103.505,0.0,top
R24,1K,R_1206_3216Metric,100.965,-106.68,0.0,top
R25,1K,R_1206_3216Metric,100.965,-109.855,0.0,top
R26,1K,R_1206_3216Metric,100.965,-113.03,0.0,top
R27,10K,R_1206_3216Metric,138.43,-62.865,-90.0,top
R101,1K,R_1206_3216Metric,163.7199,-68.6748,90.0,top
R102,1K,R_1206_3216Metric,161.3199,-68.6748,-90.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,103.6699,-62.865,90.0,top
U2,STM32F105RBTx,LQFP-64_10x10mm_P0.5mm,145.415,-75.565,0.0,top
U3,STMPS2141,SOT-23-5,147.32,-101.6,0.0,top
U4,74HCT04,SOIC-14_3.9x8.7mm_P1.27mm,125.095,-101.6,270.0,top
Y1,8MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,143.9164,-87.0204,0.0,top
